deleterious	harmful
dissemble	disguise; hide the real nature of; pretend
terrestrial	on or relating to the earth
sleazy	shabby and dirty; flimsy; insubstantial; Ex. sleazy back-street hotel/fabric
vertex	summit; highest point; PL. vertices
regatta	boat or yacht race
clientele	body of customers
component	element; ingredient
pilfer	steal things of small value; filch; snitch
interim	meantime; Ex. in the interim; ADJ. taking place during an interim; Ex. interim paper
codicil	supplement to the body of a will; later addition to a will
disabuse	correct a false impression; undeceive; free from a wrong belief
incompatible	inharmonious; N. incompatibility
repugnance	disgust; strong dislike; loathing; ADJ. repugnant: arousing disgust; repulsive
affirmation	positive assertion; confirmation; solemn pledge by one who refuses to take an oath; V. affirm; ADJ. affirmative; CF. affirmative action: positive discrimination
arable	fit for growing crops; Ex. arable land
discriminating	able to see differences; discerning; prejudiced; N. discrimination
rend	split; tear apart; N. rent; CF. heartrending: causing deep sorrow
devout	pious; deeply religious; sincere; earnest; Ex. my devout hope
magistrate	official with power to administer the law
spurious	false; counterfeit; forged; illogical; Ex. spurious arguments
slavish	of or like a slave; servile; showing no originality; copied very closely; Ex. slavish devotion/copy of the original
seemly	(of behavior) proper; appropriate
culvert	artificial channel for water; drain crossing under a road
effectuate	effect; produce; achieve; Ex. effectuate a reconciliation
cogitate	think over; ponder
expos\'e	public revelation of something discreditable
ingenious	marked by inventive skill; clever; resourceful; N. ingenuity
season	enhance the flavor of by adding a spice, etc.; inure; harden; N. seasoning: something used in seasoning
petulant	touchy; peevish; ill-tempered
seismic	pertaining to earthquakes
trifle	something of little importance or value; small amount; Ex. a trifle; V: treat without seriousness; flirt
distrait	absentminded; distracted
askance	with a sideways or indirect look (with disapproval or distruct); Ex. look askance at
phylum	major classification, second to kingdom, of plants and animals; category ranking below a kingdom and above a class; division
coterie	group that meets socially; select circle; close group of people with shared interests
forestall	prevent by taking action in advance
disengage	uncouple; separate; disconnect; stop fighting; OP. engage
simile	comparison of one thing with another, using the word like or as
flashy	showy; gaudy; giving a momentary brilliance
contravene	contradict; oppose; violate (a rule, law, or custom); N. contravention
fancy	imagination (of a whimsical or fantastic nature); capricious liking; V: imagine; be fond of; ADJ. decorative; elaborate
implausible	unlikely (to be true); unbelievable; Ex. implausible alibi
succulent	juicy; full of juice or sap; full of richness; N: succulent plant such as a cactus
pithy	concise and meaningful; substantial; meaty
mosaic	picture made of small colorful inlaid tiles; ADJ.
scintillate	sparkle; flash; be animated; be full of life; Ex. scintillating conversation
assail	assault
subdue	less intense; quieter; Ex. subdued lighting; Ex. subdue: conquer; make less intense; quiet; Ex. subdue one's anger
nip	snip off; stop something's growth or development; bite; make numb with cold; Ex. nip the plan; Ex. A guard dog nipped the postman; Ex. fingers nipped by the extreme chill
conclusive	decisive; ending all debate
requite	make return for; repay; reciprocate; revenge; N. requittal
accessory	additional object; useful but not essential thing
eloquence	expressiveness; persuasive speech; ADJ. eloquent: movingly expressive; expressing ideas well so that the hearers can be influeneced
finished	properly made and complete; Ex. finished product/performance
austere	forbiddingly stern; ascetic; without comfort or enjoyment; severely simple and unornamented; Ex. a monk's austere life; Ex. austere grandeur of the cathedral; N. austerity
pantomime	acting without dialogue; V.
erudite	(of a person or book) learned; full of learning; scholarly; N. erudition
chasm	abyss; very deep crack
funereal	sad; solemn; suitable for a funeral
foist	insert improperly; impose upon another by coercion; palm off; pass off as genuine or worthy; CF. fist
lithe	flexible; supple; CF. limber
intermediary	intermediate; acting as a mediator; N: mediator; go-between
pathological	pertaining to disease; N. pathology: study of disease
transient	staying for a short time; momentary; temporary; N: one that is transient
confluence	flowing together; the place where two rivers flow together; crowd; gathering together
genre	particular variety of art or literature
shrivel	make or become shrunken and wrinkled (often by drying)
check	stop motion; curb or restrain
tatter	torn piece of cloth; ADJ. tattered: (of clothes) old and torn; (of a person) dressed in old torn clothes
trilogy	group of three related works (connected by a shared subject but each complete in itself)
arboretum	place where different trees and shrubs are studied and exhibited
scrap	small bit or fragment; discarded waste material; fight; Ex. a scrap of paper/cloth; V: break into parts for disposal; discard as worthless; fight; quarrel
sift	put through a sieve to separate fine from coarse particles; sort or examine carefully
crone	hag; ugly old woman
anticlimax	letdown in thought or emotion; something unexciting, ordinary, or disappointing coming after something important or exciting
application	diligent attention; diligence; V. apply oneself
temperate	moderate; restrained; self-controlled; moderate in respect to temperature; CF. temperance: moderation and self-restraint; abstinence of alcoholic drinks; Ex. temperance society
realm	kingdom; field or sphere; Ex. not within the realms of possibility
unctuous	oily; bland; insincerely suave
suspend	cause to stop for a period; interrupt; hold in abeyance; defer; hang from above; exclude for a period from a position; Ex. suspended state; Ex. suspend judgment; Ex. suspended from the team; N. suspension
restive	impatiently restless (induced by external coercion or restriction); restlessly impatient; obstinately resisting control; Ex. restive horses because of wolves; CF. not a general synonym for `restless'
trim	make neat or tidy by clipping; reduce by removing what is unnecessary; ornament; decorate (round the edges); Ex. trim the cost; Ex. jacket trimmed with fur; N. ADJ: tidy; in good order
testy	irritable; impatient and bad-tempered; short-tempered; N. testiness
taxonomist	specialist in classifying (animals, etc.); CF. taxonomy: science of classification
generate	cause; produce; create
rebus	representation of words in the form of pictures or symbols; puzzle in which pictures or letters stand for words; Ex. ``R U 18'' is a rebus for ``Are you 18''.
abnegation	renunciation; self-sacrifice; self-abnegation
antediluvian	antiquated; extremely ancient
rustle	make slight sounds like silk moving or being rubbed together
smelt	melt (ore) for separating and removing the metal; melt or blend ores changing their chemical composition
bar	railing in a courtroom; legal profession; vertical line dividing a staff into equal measures; Ex. prisoner at the bar; V: shut in or out with bars; forbid; exclude; CF. barrister
babble	 chatter idly or foolishly; make continuous sounds like water running gently over rounded stone; N.
nirvana	in Buddhist teachings, the ideal state in which the individual loses himself in the attainment of an impersonal beatitude
dogged	determined; stubborn; stubbornly persevering; tenacious; Ex. Inspector Javert's dogged pursuit of Jean Valjean
manumit	emancipate; free from slavery or bondage
gyroscope	apparatus used to maintain balance, ascertain direction, etc.
pander	cater to (the low desires of others)
trunk	main wooden stem of a tree; human body excluding the head and limbs; torso; prehensile nose of an elephant
sate	satisfy to the full; satisfy to excess; cloy
approbation	approval
dowse	use a divining rod to search for underground water or minerals
sap	diminish; weaken; undermine the foundations of (a fortification); Ex. The element kryptonite sapped his strength.
preclude	make impossible; prevent; exclude; eliminate
strangle	kill by choking or suffocating; suppress
incapacitate	disable; N. incapacity: lack of capacity
bereavement	state of being deprived of something valuable or beloved; state of being bereaved or bereft
verdant	green; covered with green plants or grass; lush in vegetation; Ex. verdant meadows
derivation	deriving; origin or source of something; Ex. the derivation of the word
trigger	set off; start
crochet	make (a piece of needlework) by looping thread with a hooked needle; N. CF. crotchet
